oa_code,rnk,appliance_callsign,drive_time
E00076682,1,KV50P2,1.56
E00076683,1,KV50P1,0.92
E00076684,1,KV50P2,1.3
E00076685,1,KV50P2,1.5
E00076686,1,KV50P2,1.78
E00076687,1,KV50P2,1.14
E00076688,1,KV50P2,2.18
E00076689,1,KV50P1,0.86
E00076690,1,KV50P1,0.92
E00076691,1,KV50P1,0.76
E00076692,1,KV50P2,1.28
E00076693,1,KV50P1,1.08
E00076694,1,KV50P2,2.96
E00076695,1,KV50P1,0.93
E00076696,1,KV50P2,1.88
E00076697,1,KV50P2,1.15
E00076698,1,KV50P2,1.67
E00076699,1,KV50P2,1.47
E00076700,1,KV50P2,1.61
E00076701,1,KV50P2,1.8
E00076702,1,KV50P2,1.34
E00076703,1,KV50P2,1.45
E00076704,1,KV50P2,2.24
E00076705,1,KV50P2,2.47
E00076706,1,KV50P2,1.93
E00076707,1,KV50P2,1.54
E00076708,1,KV50P2,2.03
E00076709,1,KV50P2,1.47
E00076710,1,KV50P2,1.84
E00076711,1,KV50P2,2.29
E00076712,1,KV50P2,1.42
E00076713,1,KV50P2,2.05
E00076714,1,KV50P1,0.78
E00076715,1,KV50P2,1.18
E00076716,1,KV50P2,1.25
E00076717,1,KV21P1,0.13
E00076718,1,KV21P2,2.04
E00076719,1,KV21P1,0.81
E00076720,1,KV21P1,0.6
E00076721,1,KV21P1,0.41
E00076722,1,KV21P1,0.55
E00076723,1,KV21P1,0.55
E00076724,1,KV21P2,1.29
E00076725,1,KV21P2,1.71
E00076726,1,KV21P1,1.02
E00076727,1,KV21P2,1.44
E00076728,1,KV21P2,1.6
E00076729,1,KV21P2,1.92
E00076730,1,KV21P2,1.13
E00076731,1,KV21P2,1.8
E00076732,1,KV21P2,2.14
